Title,Locality,Price,Area
2 BHK Apartment,Handewadi,43.99,"5,812 / sq ft"
2 BHK Apartment,Tathawade,49.5,"7,511 / sq ft"
2 BHK Apartment,Thergaon,67.64,"9,006 / sq ft"
2 BHK Apartment,Moshi,40.7,"6,359 / sq ft"
2 BHK Apartment,Charholi Budruk,64.24,"8,235 / sq ft"
2 BHK Apartment,Bhugaon,62,"8,563 / sq ft"
2 BHK Apartment,Dhanori,71,"8,722 / sq ft"
2 BHK Apartment,Punawale,57.5,"7,646 / sq ft"
2 BHK Apartment,Fursungi,42.55,"7,584 / sq ft"
2 BHK Apartment,Moshi,43.99,"6,907 / sq ft"
2 BHK Apartment,Moshi,68,"7,709 / sq ft"
2 BHK Apartment,Hadapsar,48.2,"7,496 / sq ft"
2 BHK Apartment,Pirangut,46.13,"6,599 / sq ft"
2 BHK Apartment,NIBM Annex Mohammadwadi,76.97,"8,919 / sq ft"
2 BHK Apartment,Ambegaon Budruk,65.81,"9,141 / sq ft"
2 BHK Apartment,Moshi,37.78,"5,777 / sq ft"
2 BHK Apartment,Dehu,34.78,"5,451 / sq ft"
2 BHK Apartment,Hadapsar,75,"8,178 / sq ft"
2 BHK Apartment,Vadgaon Budruk,68.7,"6,795 / sq ft"
2 BHK Apartment,Wakad,67.17,"8,723 / sq ft"
